city,system:index,building_count,std_dev_area,total_area,geometry,population_density,temperature_anomaly,greenness
Sao-Paulo,35,36644,372.3023489990322,5693910.561393824,"POLYGON ((-46.75 -23.649999999999995, -46.70000000000001 -23.649999999999995, -46.70000000000001 -23.599999999999994, -46.75000000000001 -23.599999999999994, -46.75 -23.649999999999995))",9147.090023118622,-1.2782986,0.17903897
Sao-Paulo,36,37918,327.15572532127914,6320641.006710596,"POLYGON ((-46.75000000000001 -23.599999999999994, -46.70000000000001 -23.599999999999994, -46.70000000000001 -23.549999999999994, -46.75000000000001 -23.549999999999994, -46.75000000000001 -23.599999999999994))",6154.864557383012,-1.398807,0.18663867
Sao-Paulo,37,39860,574.6582310030989,7366683.2755927555,"POLYGON ((-46.75000000000001 -23.549999999999994, -46.70000000000001 -23.549999999999994, -46.70000000000001 -23.499999999999993, -46.75000000000001 -23.499999999999993, -46.75000000000001 -23.549999999999994))",7580.513029137436,-1.5930665,0.17531857
Sao-Paulo,38,61337,124.32459597039428,6158327.673288151,"POLYGON ((-46.75000000000001 -23.499999999999993, -46.70000000000001 -23.499999999999993, -46.70000000000001 -23.449999999999992, -46.75000000000001 -23.449999999999992, -46.75000000000001 -23.499999999999993))",12318.2400325853,-1.6134193,0.26567018
Sao-Paulo,39,31377,390.4648394329725,3499384.948866114,"POLYGON ((-46.75000000000001 -23.449999999999992, -46.70000000000001 -23.449999999999992, -46.70000000000001 -23.399999999999988, -46.750000000000014 -23.399999999999988, -46.75000000000001 -23.449999999999992))",5840.641848662678,-1.5690335,0.3398072
Sao-Paulo,40,4066,78.81468072996213,379865.08134937286,"POLYGON ((-46.70000000000001 -23.9, -46.65000000000002 -23.9, -46.65000000000001 -23.849999999999994, -46.70000000000001 -23.849999999999994, -46.70000000000001 -23.9))",387.2707461493356,-0.7984941,0.2990755
Sao-Paulo,41,3586,89.55650814830086,366990.90040159225,"POLYGON ((-46.70000000000001 -23.849999999999994, -46.65000000000001 -23.849999999999994, -46.65000000000001 -23.799999999999994, -46.70000000000001 -23.799999999999994, -46.70000000000001 -23.849999999999994))",148.6014488667858,-0.7560013,0.2809056
Sao-Paulo,42,39818,91.10865138880244,3592898.6073646955,"POLYGON ((-46.70000000000001 -23.799999999999994, -46.65000000000001 -23.799999999999994, -46.65000000000001 -23.749999999999996, -46.70000000000001 -23.749999999999996, -46.70000000000001 -23.799999999999994))",6750.791440096307,-0.73690206,0.23199132
Sao-Paulo,43,50366,122.85679479812808,4852335.097514576,"POLYGON ((-46.70000000000001 -23.749999999999996, -46.65000000000001 -23.749999999999996, -46.65000000000001 -23.7, -46.70000000000001 -23.699999999999996, -46.70000000000001 -23.749999999999996))",8474.16536051035,-0.93490624,0.18811597
Sao-Paulo,44,67536,271.16166744991995,7981278.085845929,"POLYGON ((-46.70000000000001 -23.699999999999996, -46.65000000000001 -23.7, -46.65000000000001 -23.649999999999995, -46.70000000000001 -23.649999999999995, -46.70000000000001 -23.699999999999996))",14011.59403649155,-1.1533424,0.15417221
Sao-Paulo,45,50588,214.92038995332263,7245902.401090185,"POLYGON ((-46.70000000000001 -23.649999999999995, -46.65000000000001 -23.649999999999995, -46.65000000000001 -23.599999999999994, -46.70000000000001 -23.599999999999994, -46.70000000000001 -23.649999999999995))",9402.065621512276,-1.2625161,0.15017319
Sao-Paulo,46,32605,241.457121291671,5704389.070786538,"POLYGON ((-46.70000000000001 -23.599999999999994, -46.65000000000001 -23.599999999999994, -46.65000000000002 -23.549999999999997, -46.70000000000001 -23.549999999999994, -46.70000000000001 -23.599999999999994))",11833.775946792292,-1.3716899,0.14617416
Sao-Paulo,47,42675,449.55782673031865,7901351.608765832,"POLYGON ((-46.70000000000001 -23.549999999999994, -46.65000000000002 -23.549999999999997, -46.65000000000001 -23.499999999999996, -46.70000000000001 -23.499999999999993, -46.70000000000001 -23.549999999999994))",12456.182721196388,-1.5390857,0.13801384
Sao-Paulo,48,94835,111.47168070663402,8892988.865809327,"POLYGON ((-46.70000000000001 -23.499999999999993, -46.65000000000001 -23.499999999999996, -46.65000000000002 -23.449999999999992, -46.70000000000001 -23.449999999999992, -46.70000000000001 -23.499999999999993))",16667.608054847133,-1.5428225,0.2891866
Sao-Paulo,49,5019,135.39798981138583,530943.5782943184,"POLYGON ((-46.70000000000001 -23.449999999999992, -46.65000000000002 -23.449999999999992, -46.65000000000002 -23.399999999999988, -46.70000000000001 -23.399999999999988, -46.70000000000001 -23.449999999999992))",722.0286026511874,-1.4908047,0.41529512
Sao-Paulo,50,1966,75.65844852147077,188253.47020959857,"POLYGON ((-46.65000000000002 -23.9, -46.60000000000001 -23.9, -46.60000000000001 -23.849999999999998, -46.65000000000001 -23.849999999999994, -46.65000000000002 -23.9))",224.2567465373448,-0.84098697,0.31724542
Sao-Paulo,51,1830,72.65224872212988,181566.1654891968,"POLYGON ((-46.65000000000001 -23.849999999999994, -46.60000000000001 -23.849999999999998, -46.60000000000001 -23.799999999999994, -46.65000000000001 -23.799999999999994, -46.65000000000001 -23.849999999999994))",146.88788707619128,-0.7560013,0.2809056
Sao-Paulo,52,7861,290.554556987731,732268.7926569923,"POLYGON ((-46.65000000000001 -23.799999999999994, -46.60000000000001 -23.799999999999994, -46.600000000000016 -23.749999999999996, -46.65000000000001 -23.749999999999996, -46.65000000000001 -23.799999999999994))",1553.9140884654466,-0.73690206,0.23199132
